gauge_id,num_dams,res_store_sum,n_dams,first_dam_year,last_dam_year,total_storage,reservoir_index,irrigation_frac,hydroelec_frac,drinking_frac,flood_frac,overflow_frac,navigation_frac,tailing_frac,pop_density_2000,pop_density_2005,pop_density_2010,pop_density_2015,pop_density_2020,urban_frac_1985,urban_frac_1995,urban_frac_2005,crops_frac_1985,crops_frac_1995,crops_frac_2005
3001,0,0,1,1909,1909,60456000,,1,0,0,0,0,0,0,55.46890009,57.56983983,59.04925054,60.97815803,67.41752086,0,0.001335621,0.001396888,0.113484867,0.111671364,0.141986276
3002,0,0,1,1982,1982,860000,0.000687915,1,0,0,0,0,0,0,117.1116196,132.9381333,151.3520174,161.9083857,171.5353851,0.002045901,0.00236185,0.002698517,0.467925975,0.498614485,0.510138862
3003,7,6409.09,14,1907,2009,383597000,,1,0,0,0,0,0,0,212.6065685,222.1824029,228.8189752,233.803439,243.3763431,0.003205322,0.003205322,0.003205322,0.500913214,0.500913214,0.512750731
3004,19,5261.42,36,1800,2003,178888000,,0.96969697,0.03030303,0,0,0,0,0,250.5128329,269.7454902,292.3514348,316.9424333,341.5107589,0.006362321,0.006362321,0.006326335,0.928931288,0.928485062,0.936621492
3005,109,57631.899,177,1903,2013,10731908100,0.507788022,0.928961749,0.016393443,0.005464481,0.027322404,0.005464481,0,0,210.474674,222.4414516,234.0552992,249.9443627,265.1050572,0.00651266,0.006843618,0.006950115,0.4922805,0.4800817,0.487042115
3006,2,0,2,1989,1990,1784000,,1,0,0,0,0,0,0,205.93211,220.3283993,234.2148624,255.540376,275.5268082,0.002255604,0.002255604,0.002338803,0.845287728,0.841331176,0.762144673
3007,9,0,21,1910,2002,2557026000,,0.875,0,0,0.125,0,0,0,142.7270743,154.7475473,168.5538526,179.479644,193.4321645,0.000940904,0.000940904,0.000933926,0.506047259,0.42759746,0.37839595
3008,211,151909.551,315,1800,2016,6605221178,0.688826382,0.946031746,0.006349206,0,0.003174603,0,0,0.003174603,202.0284066,214.6487951,229.1077083,240.6401601,254.3816375,0.004876843,0.010087903,0.010749224,0.744807418,0.738861557,0.768538932
3009,18,5140.52,29,1967,2015,264259000,1.430794086,0.966666667,0,0,0,0,0,0,238.2951314,258.7800073,279.3332748,303.7983631,328.1593731,0.001929539,0.003011963,0.003572,0.783402201,0.783124535,0.82551321
3010,704,364768.0714,1252,1800,2016,46866772835,,0.939542484,0.020424837,0.000816993,0.007352941,0.00245098,0,0.000816993,204.498368,218.8614047,234.3978031,251.1304761,269.007254,0.004989074,0.00729462,0.007921558,0.602412852,0.607257005,0.632370025
