gauge_id,p_mean,p_max,p_mean_anum,p_monthly_variability,p_annual_variability,p_unif,high_prec_freq,high_prec_dur,max_high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,max_low_prec_dur,low_prec_timing,asynchronicity,tmin_mean,tmax_mean,pet_mean,pet_min,pet_max,pet_mean_anum,pet_gleam_mean,aet_gleam_mean,evap_canopy_mean,evap_canopy_min,evap_canopy_max,evap_canopy_anum,evap_surface_mean,evap_surface_min,evap_surface_max,evap_surface_anum,aridity_p_pet,aridity_pet_aet,ai_mean,rel_hum_mean,srad_lw_mean,srad_sw_mean,wind_mean,sm_lvl1_mean,sm_lvl2_mean,sm_lvl3_mean,sm_lvl4_mean
03001,3.60,291.78,1315.38,0.5537,0.8245,0.851169888,22.1667,1.5394,9,monsoon,269.8667,8.3896,171,winter,0.301486727,21.66,33.11,4.18,0.33,9.00,1526.56,3.03,1.75,0.34,0,5.97,122.52,0.66,0.01,4.13,241.54,0.862,0.762,0.421,56.24,404.71,283.02,2.05,14.67,72.51,173.87,514.95
03002,3.76,177.15,1372.79,0.4546,0.7404,0.894904875,20.7000,1.5073,7,monsoon,252.3667,7.9361,172,winter,0.316211879,20.65,32.74,3.80,0.25,8.82,1387.69,2.82,1.76,0.30,0,4.57,108.26,0.73,0.00,4.23,266.58,0.989,0.730,0.707,60.16,381.38,285.88,2.09,14.31,62.58,171.39,502.61
03003,3.56,214.15,1302.08,0.4970,0.8337,0.880734785,22.6000,1.6992,8,monsoon,270.4667,10.5789,179,winter,0.331898084,19.94,32.82,4.19,0.36,9.87,1531.15,2.94,1.75,0.29,0,4.95,107.60,0.56,0.00,4.36,202.76,0.850,0.797,0.704,52.93,394.80,282.85,2.01,14.43,77.51,195.75,551.20
03004,2.29,227.19,835.02,0.6048,0.8698,0.849788594,22.3000,1.6082,6,monsoon,283.8667,11.8442,234,winter,0.335618796,20.11,33.72,4.57,0.37,10.62,1669.58,3.00,1.50,0.34,0,3.66,123.65,0.55,0.01,4.09,202.67,0.500,0.805,0.351,47.59,380.27,295.71,3.04,10.72,68.99,159.28,549.02
03005,3.40,118.95,1240.38,0.3546,0.6767,0.926760869,21.1333,1.8813,10,monsoon,247.5667,11.7516,139,winter,0.334892041,19.67,32.58,4.18,0.43,9.81,1525.78,2.89,1.64,0.30,0,2.83,110.50,0.52,0.01,3.66,190.89,0.813,0.802,0.624,52.14,387.91,285.31,2.08,13.78,76.88,184.79,556.97
03006,3.17,169.39,1156.47,0.4516,0.7868,0.872403506,22.7333,1.5500,9,monsoon,270.1333,9.7287,234,winter,0.325229861,18.77,31.91,4.32,0.22,11.00,1578.80,2.78,1.53,0.30,0,3.40,111.34,0.48,0.00,4.34,175.43,0.732,0.818,0.547,50.15,374.90,288.27,2.44,12.75,77.58,172.84,579.99
03007,3.28,124.22,1197.33,0.3804,0.7038,0.889561167,22.2333,1.7646,8,monsoon,256.9333,11.6259,198,winter,0.337196181,18.89,32.05,4.19,0.25,10.54,1529.56,2.81,1.58,0.32,0,3.75,115.26,0.47,0.00,3.79,172.33,0.783,0.812,0.628,50.46,379.42,287.39,2.17,13.58,78.76,182.17,576.02
03008,2.65,119.17,967.17,0.3953,0.7288,0.91537469,20.8333,1.6938,7,monsoon,260.0333,12.1322,239,winter,0.325306132,20.54,33.65,4.47,0.50,11.03,1632.39,3.00,1.55,0.30,0,3.50,109.30,0.59,0.02,3.75,216.55,0.592,0.800,0.450,49.52,390.62,289.21,2.53,11.40,72.46,170.30,559.19
03009,2.25,131.91,821.26,0.5632,0.8682,0.837072565,22.5333,1.5505,6,monsoon,286.7333,9.8196,235,winter,0.311620031,20.31,33.59,4.50,0.37,10.19,1644.29,3.02,1.54,0.39,0,3.75,142.00,0.56,0.02,4.20,205.90,0.499,0.788,0.406,47.97,388.11,295.58,2.92,10.87,68.92,146.89,534.06
03010,2.94,72.69,1075.30,0.2836,0.5505,0.912130067,18.8000,1.8553,6,monsoon,228.7333,12.7310,160,winter,0.313755564,20.40,33.21,4.24,0.77,9.27,1550.14,2.97,1.64,0.33,0,2.49,118.93,0.57,0.02,3.18,207.06,0.694,0.790,0.508,52.43,389.42,289.58,2.44,12.56,70.80,167.49,538.26
03011,2.63,204.11,960.40,0.5945,0.8785,0.879896249,22.3000,1.5239,7,monsoon,283.5000,9.8895,242,winter,0.308651673,20.71,33.96,4.48,0.28,10.47,1635.81,3.00,1.54,0.33,0,4.03,121.83,0.65,0.02,4.30,236.25,0.587,0.781,0.449,48.62,392.25,291.58,2.74,11.35,69.04,161.06,539.60
03012,3.36,132.70,1226.18,0.3811,0.6976,0.894306795,21.2667,1.7673,8,monsoon,252.3000,11.5205,218,winter,0.334699944,19.27,32.30,4.13,0.29,10.02,1508.38,2.85,1.63,0.31,0,3.44,112.36,0.50,0.00,3.40,181.43,0.813,0.805,0.646,51.76,385.09,285.68,2.03,14.06,77.95,186.76,562.17
03013,3.14,239.82,1147.60,0.5193,0.8596,0.850610537,20.9667,1.4167,5,monsoon,274.7667,8.7785,163,winter,0.307720968,21.31,34.06,4.20,0.44,10.07,1534.68,2.95,1.61,0.31,0,4.54,113.75,0.70,0.01,4.61,254.37,0.748,0.760,0.480,55.42,395.28,287.27,2.01,13.01,68.70,166.64,512.52
03014,2.45,221.00,894.85,0.4711,0.8398,0.869123571,21.5333,1.5951,6,monsoon,275.4333,11.3659,230,winter,0.343825846,19.53,32.37,4.26,0.33,10.42,1557.61,2.93,1.53,0.28,0,3.80,102.48,0.52,0.01,4.42,189.09,0.575,0.813,0.414,49.23,384.14,289.52,2.27,11.77,75.47,170.96,574.64
03015,2.99,145.85,1093.10,0.5361,0.8525,0.907761028,23.0333,1.6032,8,monsoon,283.1000,11.6502,251,winter,0.340603081,19.38,32.22,4.16,0.23,10.26,1519.60,2.88,1.63,0.30,0,6.12,108.97,0.55,0.00,4.38,199.52,0.719,0.797,0.489,50.69,384.08,289.04,1.82,13.16,74.75,177.53,543.67
03016,3.05,144.48,1114.56,0.4046,0.7430,0.926704749,22.3000,1.7698,12,monsoon,262.2000,11.2532,157,winter,0.343722928,19.05,32.06,4.14,0.24,10.23,1513.06,2.84,1.55,0.30,0,3.33,108.44,0.48,0.00,3.68,174.77,0.737,0.813,0.529,51.13,376.53,289.25,2.30,12.65,75.82,170.01,569.51
03017,3.63,259.74,1325.50,0.5487,0.8304,0.895398561,21.2000,1.5325,7,monsoon,268.5333,9.1754,218,winter,0.341901763,20.44,32.82,3.79,0.22,8.56,1385.90,2.83,1.73,0.32,0,6.66,115.24,0.70,0.00,3.96,256.04,0.956,0.732,0.703,61.53,381.17,282.81,1.76,15.30,63.96,172.99,466.79
03018,4.01,185.71,1463.28,0.3717,0.6633,0.91621891,17.5333,1.6386,6,monsoon,226.2333,7.7037,150,winter,0.31156512,20.73,32.40,3.72,0.29,8.25,1360.24,2.86,1.87,0.30,0,3.46,111.16,0.67,0.00,3.71,243.41,1.076,0.739,0.740,61.96,381.25,283.87,2.06,15.36,64.39,175.31,539.29
03019,2.27,148.02,830.81,0.5640,0.8582,0.837627712,22.4000,1.5238,7,monsoon,285.0000,9.5318,235,winter,0.307901784,20.46,33.49,4.48,0.39,9.94,1637.39,3.02,1.56,0.38,0,3.97,139.37,0.57,0.01,4.35,209.60,0.507,0.787,0.419,48.87,388.11,295.78,2.96,10.93,67.96,147.63,530.77
03020,1.97,76.18,720.33,0.4911,0.7273,0.751854196,21.4333,1.7473,7,monsoon,266.3667,12.2374,233,winter,0.303803827,19.33,33.06,4.33,0.56,8.93,1581.75,2.93,1.48,0.35,0,2.96,128.37,0.45,0.02,3.71,162.74,0.455,0.816,0.329,49.67,377.79,302.13,3.10,9.67,65.09,141.92,532.68
03021,5.30,296.82,1936.52,0.7207,0.7264,0.913062556,21.8333,2.0597,18,monsoon,257.6667,15.2165,248,winter,0.37155771,20.40,32.19,3.76,0.26,7.04,1375.21,2.97,1.73,0.49,0,4.34,178.21,0.66,0.01,4.54,242.81,1.408,0.694,1.103,60.80,380.20,287.17,2.42,15.09,77.47,212.28,702.49
03022,3.03,69.43,1107.09,0.2704,0.5323,0.923245077,17.7667,1.9453,7,monsoon,222.0000,11.0815,157,winter,0.308363296,20.57,33.13,4.19,0.85,8.99,1529.95,2.97,1.68,0.32,0,2.38,118.68,0.57,0.02,3.05,209.28,0.724,0.786,0.526,53.69,390.02,288.72,2.36,12.97,70.40,168.12,536.15
03023,2.94,72.80,1074.87,0.2838,0.5508,0.912130067,18.7667,1.8520,6,monsoon,228.7667,12.7093,160,winter,0.313808671,20.39,33.21,4.24,0.77,9.27,1550.38,2.97,1.64,0.33,0,2.49,118.96,0.57,0.02,3.18,207.05,0.693,0.790,0.508,52.42,389.37,289.60,2.44,12.56,70.79,167.45,538.21
03024,2.63,159.61,961.45,0.5184,0.8277,0.816190674,22.7000,1.4582,6,monsoon,278.4000,8.5224,182,winter,0.289368712,20.97,33.44,4.23,0.30,9.51,1546.22,2.98,1.61,0.37,0,4.01,133.64,0.59,0.01,4.63,213.97,0.622,0.775,0.447,50.64,392.74,290.87,2.55,11.63,72.38,165.91,548.10
03025,2.00,86.09,729.70,0.4680,0.7176,0.765059449,21.8000,1.7347,7,monsoon,264.9000,12.1887,233,winter,0.304153742,19.38,33.11,4.34,0.58,9.01,1587.01,2.93,1.48,0.36,0,2.83,129.70,0.45,0.02,3.76,165.07,0.460,0.814,0.331,49.41,378.62,301.72,3.09,9.74,65.41,141.80,532.42
03026,4.88,258.46,1782.79,0.7882,0.7984,0.903630949,21.2667,2.1196,14,monsoon,264.7667,15.4834,246,winter,0.373181542,20.85,32.56,3.84,0.33,7.75,1402.38,3.02,1.75,0.45,0,3.69,165.27,0.58,0.02,3.91,212.15,1.271,0.731,0.983,60.81,373.93,297.39,2.91,13.91,78.66,203.45,606.93
03027,3.27,230.93,1194.89,0.5561,0.8192,0.80507575,21.5333,1.5164,9,monsoon,270.7667,8.4263,167,winter,0.292278036,21.70,33.82,4.15,0.36,9.44,1515.43,3.02,1.68,0.27,0,4.62,99.37,0.68,0.01,4.32,248.24,0.788,0.771,0.450,55.87,402.31,284.87,2.48,13.20,68.76,166.66,544.04
03028,2.65,141.54,967.68,0.4131,0.7796,0.901365491,21.4333,1.7473,7,monsoon,265.0333,11.2780,239,winter,0.328655299,20.34,33.33,4.42,0.46,11.09,1615.54,2.99,1.55,0.28,0,3.29,102.11,0.56,0.01,4.61,203.51,0.599,0.811,0.454,49.02,390.69,287.88,2.47,11.38,74.34,172.76,570.00
03029,2.00,84.94,728.88,0.4694,0.7182,0.765059449,21.7667,1.7367,7,monsoon,265.0667,12.2338,233,winter,0.304109338,19.38,33.11,4.34,0.58,9.00,1586.64,2.93,1.48,0.35,0,2.84,129.62,0.45,0.02,3.75,164.82,0.459,0.814,0.331,49.44,378.53,301.76,3.09,9.74,65.38,141.77,532.39
03030,2.43,160.89,887.80,0.4412,0.8144,0.902391343,21.4333,1.6237,6,monsoon,272.0000,11.9473,239,winter,0.334337814,20.02,33.03,4.41,0.44,11.03,1611.58,2.98,1.52,0.28,0,3.15,103.14,0.52,0.02,4.09,190.43,0.551,0.818,0.401,48.43,387.29,289.64,2.49,11.19,74.62,168.83,572.76
