gauge_id,geol_porosity,geol_permeability,geol_class_1st,geol_class_1st_frac,geol_class_2nd,geol_class_2nd_frac,carb_rocks_frac
03001,0.225820854,0.726196691,Siliciclastic Sedimentary Rocks,1,NA,0,0
03002,0.040716875,0.725922514,Acid Plutonic Rocks,1,NA,0,0
03003,0.030965663,0.725842863,Acid Plutonic Rocks,1,NA,0,0
03004,0.090000004,0.749894209,Basic Volcanic Rocks,1,NA,0,0
03005,0.045582805,0.729256467,Metamorphic Rocks,0.5,Basic Volcanic Rocks,0.166666667,0
03006,0.118402315,0.747676148,Metamorphic Rocks,0.75,Basic Volcanic Rocks,0.25,0
03007,0.058161232,0.737023597,Metamorphic Rocks,1,NA,0,0
03008,0.098231527,0.744677505,Basic Volcanic Rocks,0.8125,Mixed Sedimentary Rocks,0.1875,0
03009,0.090000004,0.749894209,Basic Volcanic Rocks,1,NA,0,0
03010,0.077986371,0.736064764,Basic Volcanic Rocks,0.453608247,Metamorphic Rocks,0.319587629,0
03011,0.087593776,0.749063705,Basic Volcanic Rocks,1,NA,0,0
03012,0.039158377,0.731515865,Metamorphic Rocks,0.833333333,Intermediate Volcanic Rocks,0.166666667,0
03013,0.128084289,0.724564658,Mixed Sedimentary Rocks,1,NA,0,0
03014,0.090410983,0.749866916,Basic Volcanic Rocks,1,NA,0,0
03015,0.043900239,0.734141957,Basic Volcanic Rocks,0.5,Basic Volcanic Rocks,0.5,0
03016,0.057032325,0.735601552,Basic Volcanic Rocks,0.5,Siliciclastic Sedimentary Rocks,0.25,0
03017,0.015526509,0.723336015,Metamorphic Rocks,0.5,Metamorphic Rocks,0.5,0
03018,0.089134996,0.730889696,Siliciclastic Sedimentary Rocks,0.6,Metamorphic Rocks,0.2,0
03019,0.089812772,0.749829554,Basic Volcanic Rocks,0.666666667,Metamorphic Rocks,0.333333333,0
03020,0.090000004,0.749894209,Basic Volcanic Rocks,1,NA,0,0
03021,0.090000004,0.749894209,Basic Volcanic Rocks,1,NA,0,0
03022,0.076986852,0.735146999,Basic Volcanic Rocks,0.41509434,Metamorphic Rocks,0.367924528,0
03023,0.077983645,0.736110139,Basic Volcanic Rocks,0.458333333,Metamorphic Rocks,0.322916667,0
03024,0.017277827,0.72519627,Metamorphic Rocks,1,NA,0,0
03025,0.090000004,0.749894209,Basic Volcanic Rocks,1,NA,0,0
03026,0.090000004,0.749894209,Basic Volcanic Rocks,1,NA,0,0
03027,0.141706709,0.718001112,Siliciclastic Sedimentary Rocks,0.5,Siliciclastic Sedimentary Rocks,0.5,0
03028,0.099191336,0.748053651,Basic Volcanic Rocks,1,NA,0,0
03029,0.090000004,0.749894209,Basic Volcanic Rocks,1,NA,0,0
03030,0.090199027,0.749880992,Basic Volcanic Rocks,1,NA,0,0
03031,0.085478616,0.730483488,Siliciclastic Sedimentary Rocks,0.5,Siliciclastic Sedimentary Rocks,0.5,0
03032,0.090000004,0.749894209,Basic Volcanic Rocks,1,NA,0,0
03033,0.01405017,0.723122955,Metamorphic Rocks,1,NA,0,0
03034,0.021127572,0.726483092,Metamorphic Rocks,1,NA,0,0
03035,0.029398918,0.724462867,Unconsolidated Sediments,1,NA,0,0
03036,0.076214,0.738334291,Basic Volcanic Rocks,0.556962025,Metamorphic Rocks,0.278481013,0
03037,0.089525595,0.746714471,Basic Volcanic Rocks,0.875,Mixed Sedimentary Rocks,0.125,0
03038,0.090000004,0.749894209,Basic Volcanic Rocks,1,NA,0,0
03039,0.090186076,0.749881852,Basic Volcanic Rocks,1,NA,0,0
03040,0.100046621,0.749108874,Basic Volcanic Rocks,0.5,Basic Volcanic Rocks,0.5,0
03041,0.01,0.722769797,Metamorphic Rocks,1,NA,0,0
03042,0.016487444,0.723434513,Acid Plutonic Rocks,1,NA,0,0
