gauge_id,soil_depth,soil_conductivity_top,soil_conductivity_sub,soil_awc_top,soil_awc_sub,soil_awsc_min,soil_awsc_max,soil_awsc_major,sand_frac_top,sand_frac_sub,silt_frac_top,silt_frac_sub,clay_frac_top,clay_frac_sub,gravel_frac_top,gravel_frac_sub,bulkdens_top_major,bulkdense_top_mean,bulkdens_sub_major,bulkdens_sub_mean,org_carb_top_major,org_carb_top_mean,org_carb_sub_major,org_carb_sub_mean,organic_frac_top,organic_frac_sub,hsg_major,wtd
03001,2.019,16.89431509,5.561284166,0.230875529,0.244025084,125,150,150,47,39,29,27,24,34,9,8,1.39,1.335254237,1.33,1.291355932,0.86,0.969491525,0.38,0.460508475,0.025311467,0.010603097,C,-1.516434093
03002,1.230545152,11.61800458,4.103030655,0.228572654,0.23985179,150,150,150,79,68,11,10,10,22,7,4,1.59,1.59,1.45,1.45,0.53,0.53,0.3,0.3,0.022702837,0.009654721,C/D,-0.895145957
03003,3.798064516,8.014950703,3.290942658,0.201249292,0.207014799,25,125,125,16,15,29,28,55,57,4,5,1.21,1.283636364,1.21,1.21,0.75,1.015909091,0.45,0.265909091,0.020118286,0.008791865,D,-0.878572906
03004,1.44019693,6.556676794,3.482398968,0.198711589,0.199240303,125,150,125,16,15,29,28,55,57,4,5,1.21,1.213298969,1.21,1.211649485,0.75,0.78628866,0.45,0.45,0.016884786,0.010330356,D,-1.366150851
03005,3.750493971,6.795325139,2.955743283,0.19661467,0.195693625,25,150,125,16,15,29,28,55,57,4,5,1.21,1.273247911,1.21,1.218816101,0.75,0.956512535,0.45,0.320389972,0.020041878,0.007881991,D,-0.098990671
03006,1.538235294,6.089681236,2.373490607,0.190186107,0.183009256,25,125,125,16,15,29,28,55,57,4,5,1.21,1.219473684,1.21,1.21,0.75,0.784210526,0.45,0.426315789,0.017869624,0.007889889,D,-2.092474892
03007,1.792919048,6.007892739,2.347514784,0.190285845,0.184326117,25,125,125,16,15,29,28,55,57,4,5,1.21,1.234196721,1.21,1.21,0.75,0.837377049,0.45,0.389508197,0.02171475,0.008029545,D,-0.417549471
03008,2.611732908,8.152887028,3.780944487,0.197109513,0.194444501,25,150,125,16,15,29,28,55,57,4,5,1.21,1.25834891,1.21,1.232137931,0.75,0.874087227,0.45,0.409426791,0.016114092,0.00723606,D,-0.091358628
03009,1.435415868,10.80440007,4.368577098,0.204403291,0.205039382,125,150,125,21,18,28,28,51,54,5,5,1.23,1.220277778,1.22,1.215138889,0.97,0.863055556,0.45,0.45,0.01703139,0.008369872,C,-1.220475747
03010,3.789519233,9.960672886,4.024779133,0.210223332,0.212562345,25,150,125,16,15,29,28,55,57,4,5,1.21,1.307922554,1.21,1.267657668,0.75,0.885512847,0.45,0.391578233,0.019771716,0.00885004,D,-0.025064339
03011,1.311717861,9.792451448,4.287081385,0.208998603,0.210189257,125,150,150,47,39,29,27,24,34,9,8,1.39,1.36875,1.33,1.315,0.86,0.9025,0.38,0.41125,0.018229975,0.009040768,C,-2.110776681
03012,2.53404458,6.254690158,2.437577929,0.193235992,0.189434271,25,150,125,16,15,29,28,55,57,4,5,1.21,1.261587517,1.21,1.221856899,0.75,0.873636364,0.45,0.352510176,0.021112692,0.00810038,D,-0.227789193
