year,month,day,prcp,tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(mm/day),evap_surface(mm/day),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2)
1980,1,1,0.0,30.18,17.12,23.65,368.16,264.44,0.23,3.71,3.72,49.5,,2.61,1.19,0.0,0.29,3.15,64.8,150.86,518.8
1980,1,2,0.0,30.26,17.22,23.74,371.47,238.91,-0.11,2.86,2.86,55.68,,2.46,1.33,0.0,0.27,3.08,64.7,150.84,518.69
1980,1,3,0.0,29.51,17.24,23.38,375.82,263.73,-0.45,3.12,3.15,54.6,,2.48,1.12,0.0,0.28,3.02,64.61,150.82,518.51
1980,1,4,0.0,29.64,17.32,23.48,398.02,225.81,-0.54,1.47,1.57,67.83,,2.35,0.98,0.35,0.26,3.1,64.5,150.78,518.38
1980,1,5,0.0,28.91,17.43,23.17,390.26,238.97,-0.83,1.59,1.79,60.91,,2.43,0.98,0.35,0.29,3.65,64.42,150.74,518.22
1980,1,6,0.0,29.76,17.59,23.68,390.2,184.43,-0.77,-0.61,0.98,68.42,,2.08,0.82,0.94,0.39,5.76,64.33,150.72,518.13
1980,1,7,0.0,28.76,17.14,22.95,368.7,240.41,-0.45,-1.49,1.56,57.02,,2.24,0.86,0.51,0.39,5.64,64.25,150.7,518.0
1980,1,8,0.0,29.15,16.22,22.68,352.09,266.16,-0.73,-1.79,1.93,41.7,,2.25,0.84,0.01,0.46,5.38,64.15,150.67,517.87
1980,1,9,0.0,29.13,15.27,22.2,350.27,272.43,-0.38,-1.44,1.49,54.66,,2.53,0.93,0.0,0.43,5.15,64.07,150.65,517.68
1980,1,10,0.0,29.04,15.27,22.16,349.82,274.3,-1.27,-0.26,1.3,49.37,,2.64,0.95,0.0,0.42,4.94,63.98,150.63,517.56
1980,1,11,0.0,29.65,16.15,22.9,361.1,271.42,-1.03,3.09,3.26,55.4,,2.69,0.94,0.0,0.37,4.76,63.89,150.59,517.44
1980,1,12,0.0,29.94,17.21,23.58,367.23,274.39,-0.51,3.5,3.54,49.55,,2.68,0.91,0.0,0.39,4.59,63.81,150.56,517.27
1980,1,13,0.0,29.42,17.0,23.21,376.04,272.33,-0.87,2.4,2.55,47.19,,2.7,0.9,0.0,0.37,4.41,63.72,150.52,517.19
