year,month,day,prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(mm/day),evap_surface(mm/day),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2)
1980,1,1,0.0,27.91,14.18,21.04,329.01,302.14,-1.42,0.22,1.44,37.67,,2.57,0.9,0.0,0.23,2.58,55.88,127.58,482.58
1980,1,2,0.0,29.04,14.25,21.64,339.97,298.46,-1.07,1.6,1.92,48.6,,2.61,1.13,0.0,0.19,2.48,55.82,127.58,482.53
1980,1,3,0.0,28.7,14.63,21.66,345.39,297.25,-1.02,0.55,1.16,46.36,,2.66,0.99,0.0,0.21,2.39,55.77,127.58,482.49
1980,1,4,0.0,28.72,15.64,22.18,354.56,272.64,-3.6,0.79,3.69,47.44,,2.63,0.9,0.0,0.21,2.31,55.71,127.58,482.46
1980,1,5,0.0,28.58,15.2,21.89,344.61,299.47,-3.62,0.86,3.72,44.72,,2.64,0.86,0.0,0.22,2.24,55.64,127.57,482.41
1980,1,6,0.0,27.92,15.34,21.63,346.04,299.81,-4.29,-0.54,4.32,49.29,,2.67,0.85,0.0,0.21,2.18,55.58,127.58,482.34
1980,1,7,0.0,28.16,16.06,22.11,336.22,302.07,-4.31,-0.69,4.36,49.08,,2.49,0.78,0.0,0.23,2.13,55.5,127.58,482.27
1980,1,8,0.0,27.84,15.43,21.64,348.54,299.17,-4.03,-0.34,4.04,51.25,,2.7,0.81,0.0,0.22,2.09,55.43,127.57,482.22
1980,1,9,0.0,27.43,16.12,21.78,341.78,303.51,-3.32,-0.8,3.42,48.75,,2.56,0.75,0.0,0.2,2.06,55.37,127.57,482.17
1980,1,10,0.0,27.29,15.58,21.44,331.46,305.84,-3.53,-0.62,3.58,46.05,,2.68,0.75,0.0,0.21,2.04,55.31,127.56,482.12
1980,1,11,0.0,27.58,14.38,20.98,326.49,307.26,-3.63,-0.19,3.63,43.23,,2.62,0.72,0.0,0.2,2.02,55.24,127.56,482.07
1980,1,12,0.0,27.37,13.94,20.66,313.32,314.83,-4.2,0.67,4.25,47.55,,2.63,0.7,0.0,0.22,2.02,55.18,127.56,482.01
1980,1,13,0.0,26.87,13.8,20.34,317.41,315.2,-3.78,-0.03,3.78,46.41,,2.62,0.68,0.0,0.22,2.02,55.11,127.56,481.93
1980,1,14,0.0,27.2,13.85,20.52,315.73,316.08,-3.56,-0.19,3.57,42.02,,2.64,0.66,0.0,0.21,2.02,55.05,127.55,481.89
1980,1,15,0.0,27.33,14.68,21.0,322.65,312.83,-4.0,0.83,4.09,45.43,,2.67,0.65,0.0,0.22,2.02,54.99,127.55,481.84
1980,1,16,0.0,27.46,14.5,20.98,338.09,314.68,-3.36,0.27,3.37,48.2,,2.7,0.63,0.0,0.22,2.02,54.93,127.55,481.79
1980,1,17,0.0,27.81,15.46,21.64,327.95,313.83,-3.05,0.1,3.05,41.92,,2.69,0.61,0.0,0.2,2.01,54.89,127.55,481.75
1980,1,18,0.0,27.66,14.57,21.12,329.62,316.03,-3.78,0.11,3.78,40.96,,2.69,1.11,0.0,0.21,2.02,54.83,127.55,481.69
1980,1,19,0.0,27.87,14.64,21.26,323.42,316.93,-4.67,-0.32,4.68,44.17,,2.71,0.92,0.0,0.22,2.02,54.77,127.55,481.6
